"","2","",ADA,STREET,DONCASTER,"3108"
"1","15","",OBERWYL,ROAD,CAMBERWELL,"3124"
"","19","",EDINBURGH,ROAD,BLACKBURN SOUTH,"3130"
"","1","",WALL,COURT,CHADSTONE,"3148"
"","48","",HOLLAND,ROAD,BLACKBURN SOUTH,"3130"
"","113","",RICKETTS,ROAD,MOUNT WAVERLEY,"3149"
"","25","",NASH,ROAD,BOX HILL SOUTH,"3128"
"","34","",DRYDEN,STREET,DONCASTER EAST,"3109"
"","7","",GEORGE,STREET,DONCASTER EAST,"3109"
"1","12","",BELEURA,AVENUE,VERMONT,"3133"
"","26A","",CLIFFORD,STREET,GLEN WAVERLEY,"3150"
"","2","",ORBOST,COURT,VERMONT,"3133"
"","1","",TUCKER,ROAD,VERMONT,"3133"
"","1A","",VIEW,ROAD,VERMONT,"3133"
"","380","",HUNTINGDALE,ROAD,MOUNT WAVERLEY,"3149"
"","25","",ELLINGWORTH,PARADE,BOX HILL,"3128"
"","1","",ANGUS,DRIVE,GLEN WAVERLEY,"3150"
"","155","",HAWTHORN,ROAD,FOREST HILL,"3131"
"","3","",RAY,DRIVE,BALWYN NORTH,"3104"
"2","13","",CHARLES,STREET,SURREY HILLS,"3127"
"","230","",SPRINGVALE,ROAD,NUNAWADING,"3131"
"","69","",MAUD,STREET,BALWYN NORTH,"3104"
"","23","",WOOD,STREET,NUNAWADING,"3131"
"15","206","",WHITEHORSE,ROAD,BALWYN,"3103"
"","49","",ROBERTS,AVENUE,BOX HILL SOUTH,"3128"
"","7","",VICTORIA,ROAD,CAMBERWELL,"3124"
"","28","",BETTINA,STREET,BURWOOD EAST,"3151"
"","36","",PERCY,STREET,BALWYN,"3103"
"","2","",TURANA,STREET,DONCASTER,"3108"
"3","1423","",HIGH,STREET,GLEN IRIS,"3146"
"","2","",CANTALA,COURT,VERMONT SOUTH,"3133"
"","10","",MAYFAIR,CLOSE,MULGRAVE,"3170"
"2","30","32",HOLLAND,ROAD,BLACKBURN SOUTH,"3130"
"","45","",SANDGATE,AVENUE,GLEN WAVERLEY,"3150"
"310","770B","",TOORAK,ROAD,GLEN IRIS,"3146"
"","8","",MAWSON,COURT,VERMONT,"3133"
"129","42","44",WELLINGTON,ROAD,CLAYTON,"3168"
"","17","",HOLYROOD,CRESCENT,RINGWOOD,"3134"
"","16","",ELIZABETH,STREET,DONCASTER EAST,"3109"
"","4","",NANDINA,STREET,FOREST HILL,"3131"
"","64","",LEE ANN,STREET,FOREST HILL,"3131"
"","2","",LONGBRAE,AVENUE,FOREST HILL,"3131"
"13","470","474",CANTERBURY,ROAD,FOREST HILL,"3131"
"","7","",HOLMBURY,BOULEVARD,MULGRAVE,"3170"
"1","49","",MIDDLESEX,ROAD,SURREY HILLS,"3127"
"","135","",STATION,STREET,BURWOOD,"3125"
"112","155","221",WARRIGAL,ROAD,BURWOOD,"3125"
"","28A","",FARLEIGH,AVENUE,BURWOOD,"3125"
"","38","",ANDREWS,STREET,BURWOOD,"3125"
"2","18","",THEA,GROVE,DONCASTER EAST,"3109"
"","8","",THEA,AVENUE,BALWYN NORTH,"3104"
"9","98","100",MOUNT PLEASANT,ROAD,NUNAWADING,"3131"
"","42","",GORDON,AVENUE,OAKLEIGH EAST,"3166"
"1","1","",SERGEANT,STREET,BLACKBURN,"3130"
"","18","",HIGH,STREET,MONT ALBERT,"3127"
"","2","",HOWQUA,LANE,DONCASTER,"3108"
"","13","",KENWOOD,CRESCENT,RINGWOOD,"3134"
"17","170","",FORSTER,ROAD,MOUNT WAVERLEY,"3149"
"","483","",WARRIGAL,ROAD,ASHWOOD,"3147"
"","186D","",HUNTINGDALE,ROAD,OAKLEIGH EAST,"3166"
"","63","",NICHOLSON,STREET,NUNAWADING,"3131"
"","16","",SETTLERS,COURT,VERMONT SOUTH,"3133"
"","399","",STEPHENSONS,ROAD,MOUNT WAVERLEY,"3149"
"","10","",BARILLA,COURT,BURWOOD EAST,"3151"
"","35","",RUSSELL,STREET,CAMBERWELL,"3124"
"3","1008","",DONCASTER,ROAD,DONCASTER EAST,"3109"
"","8","",MARLBOROUGH,AVENUE,CAMBERWELL,"3124"
"","12","",HIGHVIEW,ROAD,BALWYN NORTH,"3104"
"","14","",JUNE,AVENUE,BALWYN NORTH,"3104"
"","1","",ANDREW,COURT,BALWYN NORTH,"3104"
"","433","",WHITEHORSE,ROAD,BALWYN,"3103"
"","28","",WILLIS,STREET,BALWYN NORTH,"3104"
"1","48","",AMAROO,STREET,CHADSTONE,"3148"
"","44","",KERFERD,ROAD,GLEN IRIS,"3146"
"","32","",MILTON,AVENUE,CLAYTON SOUTH,"3169"
"","13","",KURRAJONG,AVENUE,GLEN WAVERLEY,"3150"
"","6","",FRAN,COURT,GLEN WAVERLEY,"3150"
"","133","",SPRINGVALE,ROAD,GLEN WAVERLEY,"3150"
"","45","",KINNOULL,GROVE,GLEN WAVERLEY,"3150"
"","5","",FIANDER,AVENUE,GLEN WAVERLEY,"3150"
"","42","",ROWITTA,DRIVE,GLEN WAVERLEY,"3150"
"","30","",RENWICK,STREET,GLEN IRIS,"3146"
"","1123","",TOORAK,ROAD,CAMBERWELL,"3124"
"","39","",ALBANY,DRIVE,MULGRAVE,"3170"
"","9","",CATESBY,CLOSE,MULGRAVE,"3170"
"","10","",VIEW,STREET,SURREY HILLS,"3127"
"","12","",BELLARA,WAY,WHEELERS HILL,"3150"
"","5","",SHAKESPEARE,DRIVE,TEMPLESTOWE,"3106"
"","5","",MELALEUCA,WAY,BOX HILL SOUTH,"3128"
"","37","",BURTON,STREET,CHADSTONE,"3148"
"","1073","",TOORAK,ROAD,CAMBERWELL,"3124"
"","7","",BEATRICE,AVENUE,SURREY HILLS,"3127"
"2","286","",SPRINGFIELD,ROAD,NUNAWADING,"3131"
"1","4","6",BOYD,STREET,BLACKBURN SOUTH,"3130"
